view_mode	count	zoom_level
traffic	1	9
standard_hd	2	16
photo	1	16
standard	2	17,19
traffic_hd	1	12
standard	1	13
traffic	1	14
standard	1	19
traffic	1	14
photo	1	17
standard	1	17
photo	2	17
traffic_hd	1	12
photo	1	17
standard	1	16
standard_hd	1	13
traffic_hd	1	12
standard	1	14
standard_hd	5	14,13
standard	3	17,18,19
traffic_hd	1	17
standard	1	19
traffic	1	14
traffic_hd	1	17
standard	2	17,19
public_transport_hd	1	15
standard	3	18,19
traffic_hd	1	17
standard	5	17,18,14,16
standard_hd	2	18,16
traffic_hd	2	14,12
standard	1	14
standard_hd	2	15
hybrid	1	15
standard_hd	2	15
photo	1	15
traffic_hd	1	9
photo	1	16
standard_hd	1	11
standard	2	19,14
standard_hd	1	11
traffic_hd	2	8
standard	4	17,19,16
photo	1	19
hybrid	1	15
standard	1	19
photo	1	19
traffic	1	14
standard	1	18
traffic	1	14
standard	2	17,19
standard_hd	2	15
standard	2	15
standard_hd	1	15
photo	4	17,18,15,16
standard	1	18
standard_hd	1	17
standard	1	18
standard_hd	3	17,15
standard	1	16
traffic_hd	1	8
standard	2	19,14
traffic_hd	1	8
photo	1	18
standard	1	19
standard_hd	1	13
standard	1	19
traffic_hd	1	14
standard_hd	1	13
traffic_hd	1	12
standard	3	18,19
standard_hd	1	16
standard	1	16
standard_hd	2	15
standard	1	18
standard_hd	1	17
standard	3	18
traffic_hd	3	12
standard	3	18,8
standard_hd	1	13
standard	2	18,19
traffic_hd	1	8
standard	1	17
traffic_hd	1	12
standard	5	18,19
standard_hd	1	16
standard	3	18,19
traffic_hd	1	16
photo	1	18
standard	1	19
standard_hd	2	18,14
traffic_hd	1	8
photo	1	17
standard	1	14
traffic_hd	1	14
standard	1	19
hybrid	1	15
standard	3	18
standard_hd	1	16
photo	2	16
hybrid	1	15
photo	3	19,16
standard_hd	2	14
traffic_hd	2	11
standard_hd	1	16
standard	1	19
standard_hd	1	16
standard	1	18
traffic_hd	1	11
standard_hd	5	14,16,13
standard	1	19
traffic_hd	1	11
standard	2	19,14
standard_hd	1	6
standard	2	19
standard_hd	2	16
hybrid	1	15
standard_hd	1	17
photo	1	19
standard	2	15,19
traffic_hd	1	12
hybrid	1	15
traffic_hd	1	8
standard	3	17,15,14
photo	1	17
standard_hd	1	16
photo	1	17
standard_hd	1	17
standard	1	15
hybrid	1	15
standard_hd	4	16,13
traffic_hd	1	8
standard_hd	2	6,16
standard	1	19
traffic_hd	1	11
standard_hd	2	17,16
photo	1	17
standard_hd	2	17
traffic_hd	1	8
standard_hd	1	17
standard	1	19
standard_hd	8	17,16
photo	1	17
standard_hd	8	17,18,16,13
